Latitude,Longitude,Location Name
34.85145,32.840779,Afamis
35.380947,34.094852,Agia Thekli
34.856531,32.916776,Agiasma
34.742575,33.314885,Agios Georgios tou Kefala
34.699842,32.966858,Agios Sylas
34.68591,32.950478,Agios Vichchianos
35.048595,32.896987,Agroladhou
35.495833,34.158333,Akradhes
34.753547,32.778737,Akradies
34.796291,32.945212,Alata
34.926235,32.895967,Almyrolivado
34.726102,32.805164,Alonia
34.684303,32.994247,Aloupoi
34.769002,32.797179,Amalades
34.78062,32.927796,Amalas
35.120543,33.938941,Ammokhostos
34.975,34.0375,Ammos tou Kampouri
34.806693,32.865808,Amolades
34.890771,32.800417,Ampelaki
34.828741,32.965698,Ampelikos
34.920887,32.98836,Anemomylos
35.0125,34.029167,Apissotou
34.828494,32.964999,Aplistra
34.773441,32.866992,Appies
35.004153,32.764681,Argaki tis Agias Triadas
34.999023,32.744738,Argaki tis Antrouklias
34.960544,32.922658,Argaki tis Glias
34.936176,32.825225,Argaki tis Platanias
34.982742,32.77655,Argaki tis Sentoukas
34.976719,32.78817,Argaki ton Kerazion
34.905823,32.840573,Argaki ton Leivadion
34.963626,32.888948,Argaki ton Pikromiloudion
34.964003,32.890563,Argaki ton Piteron
34.979262,32.790127,Argaki ton Pyknospidion
34.925396,32.766362,Argaki ton Tsourion
34.723854,32.978529,Argaki tou Damnous
34.938497,32.795773,Argaki tou Drakounta
34.903347,32.76071,Argaki tou Kalamou
34.990524,32.902735,Argaki tou Karvouna
35.008333,32.7625,Argaki tou Papadouriou
34.974783,32.888713,Argaki tou Petkou
34.994502,32.765084,Argaki tou Pyrgou
34.901745,32.75,Argaki tou Rou
34.76664,32.906019,Argaki tou Theodoulou
34.906079,32.840383,Argaki tou Xerokolympous
34.997933,34.056341,Argakoudia
34.895778,32.942521,Argyros
34.728456,32.77582,Arkhangelos
34.892703,32.908225,Arkolachania
34.777956,32.915565,Arkolia
34.717711,32.854599,Arkolies
34.855104,32.897136,Arniades
34.879569,32.82922,Atofoulies
34.922981,32.777257,Atofoullia
34.795995,32.864408,Avlogitos
35.44706,34.014467,Ayia Agathi
35.012559,32.884073,Ayia Anna
34.714303,32.764276,Ayia Eleni
35.555208,34.204278,Ayia Glykeria
35.436944,34.01911,Ayia Irini
34.940455,32.976048,Ayia Marina
35.070833,32.870833,Ayia Mavri
34.989416,33.997667,Ayia Napa
35.006,32.964701,Ayia Paraskevi
35.51205,34.188565,Ayia Solomoni
35.537843,34.186832,Ayia Thekla
35.049734,34.02418,Ayia Trias
34.999381,32.828117,Ayia Varvara
35.016667,32.833333,Ayii Anaryiri
35.076331,32.897528,Ayii Saranda
35.108333,32.9125,Ayios Anastasios
34.990135,32.829597,Ayios Andronikos
35.468899,34.144693,Ayios Antonios
34.692654,32.774518,Ayios Dhimitrianos
34.725793,32.824736,Ayios Efstathios
34.944001,32.789786,Ayios Elias
34.9875,34.0125,Ayios Epiphanios
35.375238,34.041509,Ayios Evloyios
35.325,34.008333,Ayios Ioannis
35.480684,34.190738,Ayios Konstantinos
35.137957,32.810115,Ayios Kournoutas
35.043306,32.732899,Ayios Kyriakos
35.004167,32.854167,Ayios Lazaros
35.147447,32.747057,Ayios Loukas
35.125163,32.738722,Ayios Mamas
35.1125,32.879167,Ayios Modhestos
35.170209,32.747818,Ayios Nikolaos
35.025,34.0125,Ayios Pandeleimon
35.542118,34.215342,Ayios Phanourios
35.5,34.245833,Ayios Phokas
35.513752,34.199842,Ayios Polykhronios
35.418051,34.125027,Ayios Prokopios
35.471575,34.238612,Ayios Seryios
35.083333,32.754167,Ayios Spyridhon
35.476333,34.188109,Ayios Theodhoros
34.721101,32.776857,Ayios Therapon
34.7262,33.141242,Ayios Tykhonas
35.471448,34.149928,Ayios Vasilios
35.541668,34.178798,Ayios Yeoryios
34.702709,32.961468,Ayios Yeoryios tou Vikliou
34.733333,32.9625,Chalospita
34.894756,32.949839,Chardachi
34.836613,32.873143,Charkeia
34.76798,32.930756,Chasanos
34.866749,32.809002,Chchiakoti
34.84347,32.888012,Chchyllia
34.734982,32.844879,Chistron Vounon
34.725,32.970833,Chortovounaron
34.726959,32.959878,Chortovounos
34.751259,32.87169,Dasinarka
35.635731,34.516015,Delis
34.746507,32.78688,Diplargaka
34.747368,32.89984,Diplokoiladon
34.73406,32.91142,Drakontopetra
35.508333,34.245833,Elisis
34.788521,32.805191,Elites
34.996574,32.89914,Esso Galata
34.691667,32.754167,Fakiola
34.7,32.770833,Flourenzos
34.940159,32.945589,Fournia
34.681585,32.933603,Fourremis
34.773172,32.744516,Fragkos
34.854733,32.77371,Fraktades
34.965268,32.889271,Fterikeri
34.873412,32.873385,Fterikoudia
34.66272,33.027927,Garyllis Potamos
35.012964,32.773911,Geraki
34.912202,32.994973,Gerakia
34.898571,32.867869,Gerokamina
34.739085,32.821988,Giannou
35.470328,34.029092,Giouti
35.561019,34.221522,Glykiotissa
34.699489,32.86328,Gonies
34.837582,32.755915,Grystalli
35.082537,32.887877,Kadidada
34.702982,32.788629,Kafkalla
35.076196,33.508141,Kafkalla tou Pyrogiou
34.679626,32.891505,Kafkarotopia
34.728388,32.853764,Kaki Skala
34.892845,32.932742,Kakogyros
34.753923,32.998821,Kalochi
34.814271,32.755565,Kalogiorgi
34.717205,32.881609,Kalon Teratsoudi
35.010672,32.883507,Kalyana
35.001569,32.968072,Kalyfes
34.675537,32.753789,Kamares
35.054167,34.008333,Kamaroudhi
35.045833,34.0125,Kamaroudhi tis Laxias
35.14836,32.807512,Kambo
34.741667,32.908333,Kamenos Stavros
34.699921,32.934951,Kaminia
34.93067,32.8307,Kaminoudi
35.029167,34.033333,Kanas
34.710026,32.88212,Kankelli
34.737419,32.765025,Kannides
34.935401,32.876905,Kannoures
34.787954,32.947794,Kapnistos
34.721021,32.911045,Kapparovounos
34.719137,32.950593,Kapsala
34.839918,32.820993,Kapsalia
35.138146,32.830153,Karavostas
34.923734,32.933383,Kardama
34.852338,32.928846,Karmais
34.7125,32.979167,Karmi
35.050618,34.019888,Kartapinna
34.778145,32.957309,Karvounaris
34.703547,32.817769,Karvouneri
34.788573,32.972017,Kary
34.819664,32.80715,Karydaki
34.968707,32.744677,Katergas
34.868359,32.907095,Kato Ampelia
34.718626,32.757712,Kato Kentedes
34.96481,32.784086,Katsari
34.846748,32.83586,Katsourina
34.777364,32.835725,Kavakia
35.493497,34.07463,Kernadia
34.883116,32.760753,Kiattaloton
35.62596,34.504638,Kiles
34.740969,32.804545,Kleioufas
34.869058,32.774087,Kochchinas
34.720052,32.938894,Koilada tou Ankeli
34.771424,32.969541,Koilades
34.769702,32.881851,Koileron Argaki
34.6875,32.775,Kokkatikka
34.707875,32.755861,Kokkini
34.874193,32.816423,Kokkinovounos
34.78696,32.775324,Kolives
34.902822,32.969918,Kolokasides
34.7625,32.833333,Koloni
34.798008,32.786933,Kolympos
34.812527,32.810643,Konnia
34.670833,32.991667,Kontovounia
34.785238,32.838739,Korakies
34.851342,32.85849,Koufalliris
34.941423,32.820374,Koukos
34.764729,32.953359,Koulountis
34.83847,32.801397,Kountourolaona
34.739866,32.990404,Kountouros
34.908144,32.97255,Kourkoutas
34.795538,32.762415,Kourvellos
34.771316,32.854302,Kouseis
34.964138,32.882685,Koutsoulla
34.83048,32.82887,Kremmistra
34.862338,32.784571,Kremmos tis Laonas
34.984976,34.007616,Kryon Neron
34.69902,32.884471,Ktista
34.739597,32.786287,Kyparissovouno
34.916533,32.805649,Lakeras
35.026438,34.045754,Lakkos tou Skarou
34.838847,32.897445,Laona
34.680756,32.781745,Laonari
34.758331,32.892953,Laonis tis Angastromenis
34.743552,32.953171,Laxia tou Stefani
34.99718,32.864005,Laxies ton Kalainon
34.785669,32.905997,Leftos
34.872766,32.938523,Leivadies
34.828413,32.754166,Leles
34.957309,32.809572,Letrides
35.538276,34.374656,Limanouri
34.850456,32.907283,Lisos
34.912149,32.792314,Lofos
35.034822,34.039416,Louma
34.91621,32.901937,Loumata
34.71664,32.776724,Louristi
34.890671,32.824624,Louvaria
34.854167,32.370833,Maa
34.795998,32.778118,Malettis
35.001118,34.054752,Mana tou Nerou
34.837663,32.980723,Manolides
34.756474,32.96403,Mantaras
34.816746,32.931854,Mantonaina
34.708333,32.804167,Mantra tou Lakkou
34.803927,32.755457,Mantra tou Tavrou
35.629643,34.483254,Marmarovounos
34.731102,33.368153,Maronou Potamos
34.771047,32.893276,Mavritsis
34.975671,32.761868,Mavrogenis
34.767991,32.88796,Mavros
34.983333,34.058333,Mazera
34.953521,32.784275,Melissi
34.723568,32.986704,Mersinia
34.809156,32.461362,Mesa Chorion
35.225406,33.075082,Mesaron
34.787256,32.873924,Mesolaona
34.781315,33.290618,Michail Archangelos
34.660749,32.752018,Michalos
35.466667,34.045833,Mikhail Arkhangelos
35.041667,34.033333,Minas
34.876403,32.965295,Mitsargaki
34.883821,32.934195,Moni
35.589072,34.337906,Moni Panagia Eleousas
34.929034,32.854997,Moni tou Pellou
35.198691,32.993378,Morphou
34.800914,32.978226,Mosfileri
34.810401,32.771934,Mosfilovounos
34.868143,32.97312,Mouskato
34.882497,32.890429,Mouttalios
34.750727,32.798896,Mouttallos
34.756448,32.816666,Moutti
35,32.954167,Moutti tis Katholikis
34.960108,32.911449,Moutti ton Mnimaton tous Episkopous
34.962932,32.769971,Moutti tou Agkanthiou
34.935347,32.957175,Moutti tou Dia
34.966102,32.804142,Moutti tou Drakonta
34.958198,32.957605,Moutti tou Spiliou
34.894035,32.773602,Moutti tou Tremithou
34.969676,32.873418,Moutti tou Zoumi
34.990512,32.939863,Mouttis tis Kampanas
34.973868,32.78371,Mouzoulas
35.588514,34.424151,Nisi Asiro
35.505405,34.325117,Nisi Kila
35.678983,34.533089,Nisia Kordylia
34.938761,32.871349,Olympos
34.872691,32.99,Palaskas
34.733549,32.896747,Palialona
34.745045,33.005782,Palodeia
34.675,32.9125,Pampoula
34.842932,32.766491,Panagia Chryseleousa
34.97446,32.949409,Panagia Chrysokourdaliotissa
34.79938,32.908543,Panagia Monaskou
34.744801,32.829888,Panagia Perachoritissa
34.889702,32.855481,Panagia Samakiotissa
35.00271,32.895277,Panagia Theotokos
35.477737,34.185248,Panayia
35.514488,34.158492,Panayia Angariotissa
34.727419,32.77819,Panayia Dhkiakinousa
35.475,34.208333,Panayia Eleousa
34.744854,32.975184,Panayia Evangelistria
35.096025,32.989398,Pano Koutraphas
34.901288,32.95535,Pelentri
34.69867,32.796025,Perdikia
35.28624,33.910072,Perivolia tou Trikomou
34.798223,32.969057,Pernies
34.982069,32.948951,Pervolia
34.693411,32.924085,Petralona
34.771693,32.783731,Pilliades
35.033333,34.029167,Pinia
34.906616,32.949852,Pitsyllia
35.478663,34.106823,Platanisso
34.848761,32.993364,Platanoudia
34.831072,32.876717,Plevra
34.779436,32.773495,Plystres
34.735239,32.966963,Potamos
34.759715,32.9317,Potamos tou Limnati
34.686037,32.800047,Potamos tou Paramaliou
34.908871,32.915995,Poullaris
34.69731,32.948252,Poupoutsis
35.175821,32.93962,Prastion
34.948601,32.844999,Prodromas
35.017864,34.041588,Prophitis Elias
35.013614,34.056241,Protaras
34.928496,32.959893,Psilon
34.899033,32.873628,Psilon Dentron
34.847711,32.800051,Psysika
35.002389,32.847589,Pyrgomoutti
34.774409,32.759621,Rachasas
34.836721,32.950727,Rodanthis
34.718713,32.830809,Rofesia
34.907795,32.772501,Roskolos
34.902095,32.831852,Sentouka
35.231002,32.925927,Serrakhis
35.147774,32.847741,Setrakhos
34.723064,32.887103,Sikouestia
34.844972,32.931827,Simonis
35.009323,32.899344,Sina Oros
34.895536,32.88183,Skafes
35.563804,34.184023,Skaloudhia
34.969433,32.912391,Skoteini
34.890106,32.747341,Skouria
35.094885,32.892069,Skouriotissa
34.746722,32.94342,Soularavia
34.976558,32.899921,Staoudies
34.807204,32.934115,Sterakidia
34.756232,32.898145,Stites
34.761424,32.871346,Strakota
34.990081,32.960268,Straoroudia
35.27288,33.852283,Sygkrasis
34.712448,32.938652,Sykari
35.224405,32.941247,Syrianokhori
34.731423,32.798062,Teratseros
34.717448,32.795188,Teratsotos
34.801103,32.926235,Teratsoudia
34.963111,34.068547,Tigania
34.782741,32.789219,Tofoulia
34.752336,32.853624,Trapeza
34.948413,32.756103,Tripodi
34.864946,32.962555,Troumithos
35.29529,33.337338,Trypa tou Vounou
34.782436,32.752147,Tyropoios
34.825889,32.773656,Vasilakeina
34.719318,33.319686,Vasiliko
34.707417,32.776616,Vathia Koilada
34.857252,32.982715,Vathy Argaki
34.742476,32.851748,Vathyronas
34.754167,32.95,Vati
34.881918,32.958736,Vatia
34.980535,32.876964,Virviros
34.753224,32.752497,Vlou
34.992368,32.88742,Vounaras
34.780571,32.981368,Vounarka
34.713064,32.929557,Vounaros
34.706987,32.864543,Vounon
34.821692,32.936612,Vounos
34.653387,32.752153,Vournes
34.750888,32.77519,Vromenera
34.748533,32.774384,Vromonero
34.861477,32.886128,Vrychia
34.75282,32.838443,Vryses
34.816719,32.843222,Vrysi
34.774948,32.990808,Vrysi tou Rotsou
34.730535,32.757793,Xeroleivada
34.862472,32.887716,Xilimpos
34.866925,32.979249,Xylourikos
34.720727,33.084471,Yermasoyia
34.658645,33.002596,Zakaki
